ticker,name,sector,price_12,price_11,price_10,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,current_price
A,A,Other,148.63,126.33,114.05,106.46,111.05,120.45,113.5,125.21,138.58,144.69,150.1,137.95,137.95
AAPL,Apple Inc,Technology,228.01,238.03,223.19,213.32,201.7,207.82,202.38,229.72,255.45,269.05,283.1,271.01,271.01
ABBV,AbbVie Inc,Healthcare,190.14,211.48,206.27,193.34,186.99,189.99,195.22,211.92,244.38,211.96,225.11,229.31,229.31
ABNB,Airbnb Inc,Consumer,129.78,140.98,121.18,124.01,129.62,135.41,128.02,127.59,122.32,126.8,118.8,133.01,133.01
ABT,Abbott Labs,Healthcare,128.45,140.22,131.69,130.88,133.57,136.26,127.29,131.46,133.47,123.84,128.01,124.19,124.19
ACGL,ACGL,Other,93.1,92.98,96.14,89.67,96.27,91.5,88.0,91.32,90.31,86.0,93.16,93.86,93.86
ACN,Accenture plc,Technology,385.21,344.99,313.58,300.53,314.47,302.62,255.37,256.17,243.71,248.44,257.43,259.95,259.95
ADBE,Adobe Inc,Technology,438.6,440.72,383.2,374.63,403.4,392.1,347.8,345.63,343.72,337.47,322.85,333.3,333.3
ADI,ADI,Other,205.24,228.53,199.18,193.74,215.45,240.64,221.71,248.32,239.28,233.61,266.51,273.74,273.74
ADM,ADM,Other,50.02,46.58,48.21,47.58,48.1,54.45,53.85,62.05,59.25,60.09,60.52,59.05,59.05
ADP,ADP,Other,307.32,318.64,306.54,298.69,325.8,310.13,300.44,299.77,291.61,257.17,255.84,252.88,252.88
ADSK,ADSK,Other,306.23,272.03,264.61,273.49,295.26,311.67,297.02,319.16,315.73,303.64,305.12,286.73,286.73
AEE,AEE,Other,96.01,103.67,100.67,98.09,97.15,96.39,102.11,99.72,103.43,101.54,103.0,100.86,100.86
AEP,AEP,Other,99.36,107.7,108.37,107.54,103.18,104.39,113.58,110.09,112.75,119.92,120.51,115.81,115.81
AES,AES,Other,10.71,11.19,12.37,9.95,10.18,10.77,13.23,13.41,15.37,13.62,13.99,14.82,14.82
AFL,AFL,Other,106.71,110.14,112.45,103.52,103.8,105.78,98.09,105.62,110.75,106.97,109.55,110.24,110.24
AIG,AIG,Other,73.1,82.59,86.81,80.84,85.76,85.87,77.0,81.05,79.64,78.96,76.61,84.27,84.27
AIZ,AIZ,Other,212.44,209.92,211.56,191.63,204.23,197.66,186.48,214.57,217.48,212.11,225.43,237.72,237.72
